"dien_tich","gia","dia_chi","huong","link_source","lon","lat"
"Di<U+1EC7>n tích: 50 m2","Giá: 1,5 t<U+1EF7> ","Ph<U+1ED1> Mai Anh Tu<U+1EA5>n, Phu<U+1EDD>ng Quang Trung, Qu<U+1EAD>n Ð<U+1ED1>ng Ða, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--1.html#",105.8210155,21.0191671
"Di<U+1EC7>n tích: 62 m2","Giá: 1 t<U+1EF7> ","Ðu<U+1EDD>ng T<U+1ED1> H<U+1EEF>u, Phu<U+1EDD>ng Duong N<U+1ED9>i, Qu<U+1EAD>n Hà Ðông, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--1.html#",NA,NA
"Di<U+1EC7>n tích: 78 m2","Giá: 24 tri<U+1EC7>u / m2  ","Ph<U+1ED1> Tân Mai, Phu<U+1EDD>ng Tân Mai, Qu<U+1EAD>n Hoàng Mai, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--1.html#",NA,NA
"Di<U+1EC7>n tích: 50 m2","Giá: 862 tri<U+1EC7>u ","Ðu<U+1EDD>ng T<U+1ED1> H<U+1EEF>u, Phu<U+1EDD>ng Duong N<U+1ED9>i, Qu<U+1EAD>n Hà Ðông, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--1.html#",NA,NA
"Di<U+1EC7>n tích: 58 m2","Giá: 1,2 t<U+1EF7> ","Phu<U+1EDD>ng Thu<U+1EE3>ng Thanh, Qu<U+1EAD>n Long Biên, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--1.html#",NA,NA
"Di<U+1EC7>n tích: 150 m2","Giá: 28 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng Tru<U+1EDD>ng Sa, Xã Ðông H<U+1ED9>i, Huy<U+1EC7>n Ðông Anh, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--2.html#",NA,NA
"Di<U+1EC7>n tích: 67 m2","Giá: 16,8 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng Tru<U+1EDD>ng Sa, Xã Ðông H<U+1ED9>i, Huy<U+1EC7>n Ðông Anh, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--2.html#",NA,NA
"Di<U+1EC7>n tích: 64 m2","Giá: 20 tri<U+1EC7>u / m2  ","Ph<U+1ED1> Nguy<U+1EC5>n Huy Tu<U+1EDF>ng, Phu<U+1EDD>ng Nhân Chính, Qu<U+1EAD>n Thanh Xuân, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--2.html#",105.8041149,20.9973448
"Di<U+1EC7>n tích: 43 m2","Giá: 730 tri<U+1EC7>u ","Ðu<U+1EDD>ng Lê Ð<U+1EE9>c Th<U+1ECD>, Phu<U+1EDD>ng M<U+1EF9> Ðình 2, Qu<U+1EAD>n Nam T<U+1EEB> Liêm, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--2.html#",NA,NA
"Di<U+1EC7>n tích: 62 m2","Giá: 17 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng Yên L<U+1ED9>, Phu<U+1EDD>ng Yên Nghia, Qu<U+1EAD>n Hà Ðông, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--2.html#",NA,NA
"Di<U+1EC7>n tích: 72 m2","Giá: 1,3 t<U+1EF7> ","Ðu<U+1EDD>ng Tru<U+1EDD>ng Sa, Xã Ðông H<U+1ED9>i, Huy<U+1EC7>n Ðông Anh, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--2.html#",105.8695744,21.0845349
"Di<U+1EC7>n tích: 47 m2","Giá: 850 tri<U+1EC7>u ","Ðu<U+1EDD>ng T<U+1ED1> H<U+1EEF>u, Phu<U+1EDD>ng Yên Nghia, Qu<U+1EAD>n Hà Ðông, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--2.html#",NA,NA
"Di<U+1EC7>n tích: 75 m2","Giá: 28 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng Nguy<U+1EC5>n Hoàng, Phu<U+1EDD>ng M<U+1EF9> Ðình 1, Qu<U+1EAD>n Nam T<U+1EEB> Liêm, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Ðông B<U+1EAF>c","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--2.html#",NA,NA
"Di<U+1EC7>n tích: 55 m2","Giá: 900 tri<U+1EC7>u ","Ðu<U+1EDD>ng T<U+1ED1> H<U+1EEF>u, Phu<U+1EDD>ng Yên Nghia, Qu<U+1EAD>n Hà Ðông, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--2.html#",105.7722596,20.9835697
"Di<U+1EC7>n tích: 65 m2","Giá: 850 tri<U+1EC7>u ","Ðu<U+1EDD>ng Lê Van Luong, Phu<U+1EDD>ng Duong N<U+1ED9>i, Qu<U+1EAD>n Hà Ðông, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--2.html#",105.8038144,21.0047976
"Di<U+1EC7>n tích: 77 m2","Giá: 1,9 t<U+1EF7> ","Ðu<U+1EDD>ng T<U+1ED1> H<U+1EEF>u, Phu<U+1EDD>ng Ð<U+1EA1>i M<U+1ED7>, Qu<U+1EAD>n Nam T<U+1EEB> Liêm, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Ðông Nam","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--2.html#",105.7736169,20.9842881
"Di<U+1EC7>n tích: 50 m2","Giá: 850 tri<U+1EC7>u ","Ðu<U+1EDD>ng T<U+1ED1> H<U+1EEF>u, Phu<U+1EDD>ng Yên Nghia, Qu<U+1EAD>n Hà Ðông, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--2.html#",NA,NA
"Di<U+1EC7>n tích: 33 m2","Giá: 600 tri<U+1EC7>u ","Ph<U+1ED1> Vu Tông Phan, Phu<U+1EDD>ng Khuong Trung, Qu<U+1EAD>n Thanh Xuân, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--2.html#",NA,NA
"Di<U+1EC7>n tích: 71 m2","Giá: 13,2 tri<U+1EC7>u / m2  ","Ð<U+1EA1>i l<U+1ED9> Thang Long, Xã Th<U+1EA1>ch Hòa, Huy<U+1EC7>n Th<U+1EA1>ch Th<U+1EA5>t, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--2.html#",NA,NA
"Di<U+1EC7>n tích: 75 m2","Giá: 3,2 t<U+1EF7> ","Ph<U+1ED1> Nam Cao, Phu<U+1EDD>ng Gi<U+1EA3>ng Võ, Qu<U+1EAD>n Ba Ðình, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--2.html#",NA,NA
"Di<U+1EC7>n tích: 50 m2","Giá: 930 tri<U+1EC7>u ","Ph<U+1ED1> Khuong H<U+1EA1>, Phu<U+1EDD>ng Khuong H<U+1EA1>, Qu<U+1EAD>n Thanh Xuân, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--2.html#",105.8164623,20.9922949
"Di<U+1EC7>n tích: 75 m2","Giá: 1,29 t<U+1EF7> ","Ðu<U+1EDD>ng L<U+1EA1>c Long Quân, Phu<U+1EDD>ng Nghia Tân, Qu<U+1EAD>n C<U+1EA7>u Gi<U+1EA5>y, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--2.html#",105.8083975,21.0516198
"Di<U+1EC7>n tích: 43 m2","Giá: 1,07 t<U+1EF7> ","Ðu<U+1EDD>ng Nguy<U+1EC5>n Chí Thanh, Phu<U+1EDD>ng La´ng Thuo<U+0323>ng, Qu<U+1EAD>n Ð<U+1ED1>ng Ða, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--2.html#",105.8086328,21.0208319
"Di<U+1EC7>n tích: 28 m2","Giá: 840 tri<U+1EC7>u ","Ðu<U+1EDD>ng Nam Ð<U+1ED3>ng, Phu<U+1EDD>ng Ô Cho<U+0323> Du`a, Qu<U+1EAD>n Ð<U+1ED1>ng Ða, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--2.html#",105.8312314,21.0143557
"Di<U+1EC7>n tích: 35 m2","Giá: 600 tri<U+1EC7>u ","Ph<U+1ED1> Khuong H<U+1EA1>, Phu<U+1EDD>ng Khuong Ðình, Qu<U+1EAD>n Thanh Xuân, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--2.html#",105.8164623,20.9922949
"Di<U+1EC7>n tích: 105 m2","Giá: 1,98 t<U+1EF7> ","Ðu<U+1EDD>ng Ph<U+1EA1>m Van Ð<U+1ED3>ng, Phu<U+1EDD>ng Xuân Ð<U+1EC9>nh, Qu<U+1EAD>n B<U+1EAF>c T<U+1EEB> Liêm, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--3.html#",NA,NA
"Di<U+1EC7>n tích: 118 m2","Giá: 25 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng Gi<U+1EA3>i Phóng, Phu<U+1EDD>ng Phuong Li<U+1EC7>t, Qu<U+1EAD>n Thanh Xuân, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--3.html#",105.8412445,20.9916846
"Di<U+1EC7>n tích: 76 m2","Giá: 2,3 t<U+1EF7> ","Ðu<U+1EDD>ng Nguy<U+1EC5>n Xi<U+1EC3>n, Xã Tân Tri<U+1EC1>u, Huy<U+1EC7>n Thanh Trì, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--3.html#",105.8075227,20.9853757
"Di<U+1EC7>n tích: 80 m2","Giá: 1,46 t<U+1EF7> ","Ph<U+1ED1> Ð<U+1EA1>i T<U+1EEB>, Phu<U+1EDD>ng Ð<U+1EA1>i Kim, Qu<U+1EAD>n Hoàng Mai, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Nam","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--3.html#",105.8356371,20.9714969
"Di<U+1EC7>n tích: 88 m2","Giá: 13,7 t<U+1EF7> ","Ðu<U+1EDD>ng Khuong Ðình, Phu<U+1EDD>ng Khuong Ðình, Qu<U+1EAD>n Thanh Xuân, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Ðông","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--3.html#",105.769254,21.0306511
"Di<U+1EC7>n tích: 60 m2","Giá: 11,5 t<U+1EF7> ","Ðu<U+1EDD>ng H<U+1ED3> Tùng M<U+1EAD>u, Phu<U+1EDD>ng Mai D<U+1ECB>ch, Qu<U+1EAD>n C<U+1EA7>u Gi<U+1EA5>y, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--3.html#",105.769254,21.0306511
"Di<U+1EC7>n tích: 124 m2","Giá: 2,48 t<U+1EF7> ","Ðu<U+1EDD>ng Lê Ð<U+1EE9>c Th<U+1ECD>, Phu<U+1EDD>ng M<U+1EF9> Ðình 2, Qu<U+1EAD>n Nam T<U+1EEB> Liêm, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--3.html#",105.8462749,21.0081338
"Di<U+1EC7>n tích: 159 m2","Giá: 19 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng Lê Ð<U+1EE9>c Th<U+1ECD>, Phu<U+1EDD>ng M<U+1EF9> Ðình 2, Qu<U+1EAD>n Nam T<U+1EEB> Liêm, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--3.html#",105.8319347,21.0166834
"Di<U+1EC7>n tích: 65 m2","Giá: 15,6 t<U+1EF7> ","Ðu<U+1EDD>ng Ð<U+1EA1>i C<U+1ED3> Vi<U+1EC7>t, Phu<U+1EDD>ng Ba<U+0323>ch Mai, Qu<U+1EAD>n Hai Bà Trung, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--3.html#",105.8127425,21.0359281
"Di<U+1EC7>n tích: 65 m2","Giá: 15,6 t<U+1EF7> ","Ph<U+1ED1> Xã Ðàn, Phu<U+1EDD>ng Nam Ðô`ng, Qu<U+1EAD>n Ð<U+1ED1>ng Ða, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--3.html#",105.8281747,20.971315
"Di<U+1EC7>n tích: 65 m2","Giá: 15,6 t<U+1EF7> ","Ðu<U+1EDD>ng Kim Mã, Phu<U+1EDD>ng C<U+1ED1>ng V<U+1ECB>, Qu<U+1EAD>n Ba Ðình, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--3.html#",NA,NA
"Di<U+1EC7>n tích: 65 m2","Giá: 1,35 t<U+1EF7> ","Ðu<U+1EDD>ng Linh Ðàm, Phu<U+1EDD>ng Hoàng Li<U+1EC7>t, Qu<U+1EAD>n Hoàng Mai, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Tây","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--3.html#",NA,NA
"Di<U+1EC7>n tích: 85 m2","Giá: 1,7 t<U+1EF7> ","Ðu<U+1EDD>ng Linh Ðàm, Phu<U+1EDD>ng Ð<U+1EA1>i Kim, Qu<U+1EAD>n Hoàng Mai, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Ðông B<U+1EAF>c","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--3.html#",105.8260258,21.0120346
"Di<U+1EC7>n tích: 60 m2","Giá: 30 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng Hoàng Qu<U+1ED1>c Vi<U+1EC7>t, Phu<U+1EDD>ng Nghia Tân, Qu<U+1EAD>n C<U+1EA7>u Gi<U+1EA5>y, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Ðông Nam","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--3.html#",NA,NA
"Di<U+1EC7>n tích: 99 m2","Giá: 33 tri<U+1EC7>u / m2  ","Ph<U+1ED1> Tây Son, Phu<U+1EDD>ng Nam Ðô`ng, Qu<U+1EAD>n Ð<U+1ED1>ng Ða, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--3.html#",105.8281362,21.0154637
"Di<U+1EC7>n tích: 65 m2","Giá: 1,5 t<U+1EF7> ","Ðu<U+1EDD>ng H<U+1ED9>i Xá, Phu<U+1EDD>ng Giang Biên, Qu<U+1EAD>n Long Biên, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--3.html#",NA,NA
"Di<U+1EC7>n tích: 66 m2","Giá: 2,75 t<U+1EF7> ","Ph<U+1ED1> Nguy<U+1EC5>n Luong B<U+1EB1>ng, Phu<U+1EDD>ng Quang Trung, Qu<U+1EAD>n Ð<U+1ED1>ng Ða, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--3.html#",NA,NA
"Di<U+1EC7>n tích: 80 m2","Giá: 2,6 t<U+1EF7> ","Ðu<U+1EDD>ng Hàm Nghi, Phu<U+1EDD>ng M<U+1EF9> Ðình 1, Qu<U+1EAD>n Nam T<U+1EEB> Liêm, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--3.html#",NA,NA
"Di<U+1EC7>n tích: 110 m2","Giá: 3,35 t<U+1EF7> ","Ðu<U+1EDD>ng Xuân Th<U+1EE7>y, Phu<U+1EDD>ng D<U+1ECB>ch V<U+1ECD>ng H<U+1EAD>u, Qu<U+1EAD>n C<U+1EA7>u Gi<U+1EA5>y, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--3.html#",105.7783752,21.0350715
"Di<U+1EC7>n tích: 55 m2","Giá: 799 tri<U+1EC7>u ","Ðu<U+1EDD>ng Qu<U+1ED1>c l<U+1ED9> 32, Xã Tân L<U+1EAD>p, Huy<U+1EC7>n Ðan Phu<U+1EE3>ng, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--3.html#",105.7783752,21.0350715
"Di<U+1EC7>n tích: 27 m2","Giá: 585 tri<U+1EC7>u ","Ph<U+1ED1> Tr<U+1EA7>n Bình, Phu<U+1EDD>ng Mai D<U+1ECB>ch, Qu<U+1EAD>n C<U+1EA7>u Gi<U+1EA5>y, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--4.html#",105.7740712,21.0395659
"Di<U+1EC7>n tích: 27 m2","Giá: 605 tri<U+1EC7>u ","Ph<U+1ED1> Tr<U+1EA7>n Bình, Phu<U+1EDD>ng Mai D<U+1ECB>ch, Qu<U+1EAD>n C<U+1EA7>u Gi<U+1EA5>y, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Ðông B<U+1EAF>c","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--4.html#",105.7751548,20.9788913
"Di<U+1EC7>n tích: 27 m2","Giá: 605 tri<U+1EC7>u ","Phu<U+1EDD>ng Mai D<U+1ECB>ch, Qu<U+1EAD>n C<U+1EA7>u Gi<U+1EA5>y, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Ðông Nam","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--4.html#",NA,NA
"Di<U+1EC7>n tích: 128 m2","Giá: 2,1 t<U+1EF7> ","Ph<U+1ED1> C<U+1EA7>u Am, Phu<U+1EDD>ng V<U+1EA1>n Phúc, Qu<U+1EAD>n Hà Ðông, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Ðông","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--4.html#",105.7561817,20.9717535
"Di<U+1EC7>n tích: 128 m2","Giá: 2,1 t<U+1EF7> ","Ph<U+1ED1> C<U+1EA7>u Am, Phu<U+1EDD>ng V<U+1EA1>n Phúc, Qu<U+1EAD>n Hà Ðông, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Ðông","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--4.html#",105.7751548,20.9788913
